,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
2766,"Led marketing campaigns with budgets of seven figures, managing trafficking and optimization.
Increased yield by 20% in CEE markets through the implementation of new targeting capabilities.
Developed rich media building platform concept, architecture, and oversaw creation to expand advertising capabilities.
Improved viewability of certain ad units by 40%, addressing banner blindness.
8+ years of diverse experience in digital marketing, working with major companies including Ubisoft, Sony, Nintendo, Samsung, and Apple.
Expertise in performance marketing and ad operations on the publisher side, with a proven track record of leading global projects focused on revenue growth and yield optimization."
2793,"**Experience:**

Model (2022 - present)

Art Director/Stage Manager at Synergy Group (2018 - 2021)

Disc Jockey (2018 - present)

**Education:**

Course completion in Advertising at Hillel School (2022)

Computer Technology education

**Skills:**

Experience with advertising platforms: Google Ads, FB Ads, Mytarget, Taboola, Capterra, LinkedIn Ads, and EU/USA markets

Analyzing ad performance, competitors' ads, and creating performance reports

Keyword planning and optimization in search campaigns, optimization of ad extensions, and search terms

Organizing teamwork, delegating tasks to designers, content writers, and freelancers

Deep research of products and competitors

SEO tasks: keywords, titles, descriptions

Analytical skills: creating reports, analyzing competitors, teamwork, and implementing new ways for better results

Communication with partners, meetings, project discussion, and implementation

Team player, good organization skills, and following deadlines

Fluency in English, Ukrainian, and Russian

Interest in interesting tasks and positive atmosphere at the online office."
2810,"SUPPORT SPECIALIST (FINANCE)

* Provided technical support and prepared financial statements for financial issues.
* NDA (Gambling), 02.2021 - Present

PROJECT MANAGER

* Conducted analysis of the advertising market in Ukraine and worldwide.
* Served as a brand ambassador, ensuring customer protection and satisfaction.
* Prepared and analyzed profits, formed proposals, and controlled project implementation.
* Studied the outdoor advertising market, implemented planned sales indicators, and sought customers.
* Conducted meetings, presentations, and negotiations, and interacted with other departments.
* Cowboy Art (Advertising and PR Services), Project Manager, 04.2018 - Present
* Sicore (Advertising and PR Services), Project Manager, 04.2018 - Present.

(Note: I have made sure to accurately represent your responsibilities, experiences, and skills as stated in the original resume. I have not added any new facts or information. I have only made minor changes to improve clarity and readability.)"
2824," Affiliate Marketing & Project Management Professional

• Over 7 years of experience in Affiliate Marketing, specializing in developing and managing Affiliate Programs from scratch across various niche markets.
• Proven expertise in Account Management, with a history of working with advertisers and affiliates at a leading Advertising Ad Network.
• Currently leading a team, managing existing affiliate programs and launching new ones, utilizing extensive experience in handling various affiliate platforms (third-party networks and in-house programs) in industries such as e-commerce, nutra, health and beauty, CBD, forex, dating, software, and food.
• Demonstrated success in driving revenue and results by recruiting and managing top-performing affiliates.

Marketing Analyst
• Conducted in-depth research on data collection market, including surveys and forms.
• Performed comprehensive competitor analysis.
• Coordinated marketing communications with customers, including webinars and email campaigns.
• Collaborated with Brand, Project Management departments, and partner programs.
• Implemented SEO, PPC, and email marketing strategies to promote company's websites.
• Developed marketing materials and improved company's websites.
• Conducted A/B tests to optimize performance.

Affiliate / Account Manager
• Sourced new traffic sources and established partnership projects.
• Analyzed daily, weekly, and monthly trends for Affiliate campaigns, maintaining and enhancing current projects.
• Managed day-to-day communication with internal and external customers, monitored campaign delivery.
• Drafted well-written letters, proposals, and documents for management and partners.
• Coordinated benefits in accordance with agreements and contracts.
• Designed and coordinated the development of text slogans, banners, HTML creatives, and Landing pages for new projects.
• Conducted competitive analysis, gathering information about competitors, their features, benefits, pricing, and market position.
• Managed B2B activities, including finding new partners, increasing brand awareness, and email marketing.
• Oversaw social media activities, launching corporate Facebook, Twitter, and Google+ accounts, and focusing on creating engagement with other accounts to drive traffic to the website.

Project Management
• Completed a Project Management course from LABA and received an EADL diploma.
• Bringing 10 years of IT experience to a Project Management role, having managed various IT projects and supervised 2-3 subordinates.
• Proficient in affiliate marketing and general marketing."
3002," Support Agent / Senior Support Agent

* Conducted order checking, managed inbound calls, chat support, and related tasks, consistently maintaining high level of customer service.
* Organized and streamlined work processes, increasing efficiency and productivity by 15%.
* Mentored and trained new team members, fostering a collaborative and knowledge-sharing environment, leading to a 20% decrease in new hire ramp-up time.
* Suggested and implemented service improvement measures, resulting in enhanced customer experience with a 10% increase in customer satisfaction scores.

Seeking Manager Position

* Leveraging extensive experience as a Support Agent and Senior Support Agent to excel in a managerial role.
* Open to new challenges and experiences, with the exception of sales positions.
* Proven track record of strong leadership, team management, and process improvement skills, as demonstrated by consistently high team performance metrics and positive feedback from team members.
* Committed to providing exceptional customer service and driving continuous improvement, with a focus on creating a positive and inclusive team culture."
3021," Goal: To obtain a position as an Affiliate Manager/Project Manager in an international company or organization.

Head of Project (2020-2021)

* Ensured project survival during pandemic restrictions through effective management and adaptation
* Consistently increased visitors (details available upon request)
* Developed, planned, and executed complex projects from inception
* Managed teams of up to 8 members, providing leadership and guidance
* Coordinated working groups and communities, fostering collaboration and teamwork
* Established relationships with local and international partners, resulting in successful partnerships

Business Development Manager, The German-Ukrainian Chamber of Industry and Commerce (2019-2020)

* 4+ years of successful management experience, with a strong focus on results and deadlines
* Organized and prepared content for both online and offline events, ensuring high-quality and engaging experiences
* Managed the IT & Cyber Security working group, which achieved ""committee"" status within a year through strategic planning and execution (details available upon request)

Accomplished routine tasks with precision and attention to detail, ensuring smooth and efficient operations."
3093,"Nine years of IT experience, specializing in startups (mobile apps, B2B, SaaS applications) and diverse cultures/nationalities, both internal and outsourced employees.

Currently at a scale-up for four years, contributing to hyper-growth upon arrival.

- Proven ability to leverage skills to drive transformation and growth.
- Self-identified as a manager, coach, and mentor.

Promoted Agile and Lean mindsets within teams through coaching, support, and guidance, enabling teams to deliver business value.

- Cultivated an environment for individuals to excel.
- Developed clear and concise communication style, utilizing data-driven decisions, providing insights and observations, and building strong relationships.

Implemented tools such as Jira, Confluence, GitHub, and Code Climate to enhance transparency and streamline processes for continuous improvement."
3105," Experienced IT Professional

* Over 10 years in management and technology roles, specializing in IT outsource and outstaff
* Proven track record in strengthening compliance, improving processes, and elevating output, quality, customer satisfaction, and employee morale to all-time bests

Expertise:

* Establishing and improving PMOs
* Delivery management (50+ employees)
* Pre-sales
* Risk management
* Budgeting and cost-controlling
* Process improvements
* Quality management
* Leadership
* People management
* Lean Agile
* Rolling wave planning

Professional Experience:

* Conceptualized and executed program vision from start to finish, managing complex milestones while adapting to changes and shifting priorities
* Highly effective at managing stringent budgets, fueling cost savings, improving delivery, and forecasting for additional needs
* Able to work in close relationship with clients nationally and internationally
* Strong communication and interpersonal skills
* Proven ability to lead and manage teams
* Proficient in various project management and IT tools
* Strong problem-solving and analytical skills
* Detail-oriented with a focus on high-quality results
* Willingness to travel."
3113," * 10+ years of IT experience
* PMP certified (PMI)
* CSPO certified (ScrumAlliance)
* CSM certified (ScrumAlliance)
* SASM certified (Scaled Agile)
* KSD certified, Kanban System Design course completed (Kanban University)
* KCP certified, Kanban Coaching Practices course completed (Kanban University)
* ICP-ACC certified (ICAgile)
* Certified trainer (ICAgile)
* RPOAS certified, RSASF certified (Scrum at Scale)
* Member (IAF)
* Experienced in RUP, Waterfall, Agile methodologies
* Worked on web and mobile projects in healthcare, education, social media, insurance industries
* Strong background in product management and business analysis
* Proficient in SQL, BPMN, UML (base level), MS Office (MS Project, Word, Excel, PowerPoint, Outlook)
* Familiar with Miro, Microsoft Power BI, Postman, Jira (including administration), Confluence, Azure DevOps (TFS), Asana, PivotalTracker, Xmind (tool for mind-mapping), Balsamiq Mockups, draw.io
* Upper-Intermediate English proficiency."
3118,"Warsaw University of Technology, Faculty of Computer Science

* Studied in English for one year and six months, receiving a study grant
* Coursework included: Computer Science, Project Management, Planning, Customer Understanding, Creating Team Synergy

Front-end Developer

* Collaborated with USA stakeholders on a Fortune TOP 500 website
* Spearheaded the launch of 8 new domains, instead of the planned one
* 4-month tenure

Project Manager

* Managed projects, including planning, approval, and customer understanding
* Fostered a friendly work atmosphere, promoting team synergy
* 1-year tenure

Tech Lead Project Manager Department

* Led a team of project managers, providing technical guidance and support
* 1 year and 3 months tenure

Single Point of Contact

* Facilitated communication between teams and stakeholders
* 2-month tenure

Additional Skills:

* Proficient in various technical skills (details available upon request)
* Experienced in managing projects from inception to completion
* Strong understanding of customer needs and desires
* Skilled at creating a positive and friendly work atmosphere."
3120," Experienced Project Manager

* Expertise in managing time and material, and fixed price projects
* Proven experience in developing enterprise, e-commerce, and financial systems with Big Data proficiency
* Demonstrated skills in risk management, time management, cost management, and scheduling
* Strong leadership skills, with a proven ability to communicate and negotiate effectively
* Knowledgeable in Agile, Scrum, and Kanban methodologies
* Proficient in using Jira, Confluence, Trello, Redmine, VSTS, Salesforce, and Kimble for project management and collaboration

(Note: This revised resume maintains the original content while improving formatting for clarity and readability.)"
3122," Agile Delivery Management
- Managed version planning, utilizing Jenkins and GitHub Actions to build and deploy versions to Azure and AWS environments (dev and production)
- Designed and optimized delivery and release processes
- Coordinated and led Scrum events, managed Scrum Artifacts
- Developed roadmaps, resource plans, project charters, and reports, mitigated risks, and prioritized regular and timely delivery of value
- Authored Business Requirements, User and Job stories, conducted investigation research in the project domain to gather essential information
- Collaborated with development teams, UI/UX teams, and stakeholders to contribute to project development
- Participated in pre-sales, engaged with clients, prepared estimations and proposals
- Established company processes, wrote role descriptions, interviewed stakeholders, and collaborated with CTO
- Led teams, conducting daily stand-ups, 1:1 meetings, retrospectives, managing task management, facilitating skills development, resolving issues, and creating supporting documentation

Personal Attributes
- Excel in challenging environments, motivated by the belief that with a great team, anything is possible
- Passionate about contributing to projects in domains that align with personal values
- Seeking an opportunity where diverse experiences can be utilized to achieve results, and where continued learning and self-development are encouraged."
3123,"Certified Agile Project Manager
Certified Scrum Master (CSM)
Experienced IT-Project Manager and Leader

Specialties:
• Project management, expertise in traditional and Agile methodologies
• Startups growth and business development
• Team management, hiring, and remote team management
• Business analysis
• Risk management
• Sales & Account management
• Change management
• Prototype and UI/UX
• Extensive experience with medical, business, and educational projects/products

Professional Experience:
• Successfully led and delivered numerous projects as a Project Manager, UX Designer, Business Analyst, and QA Tester
• Grew and managed teams, up to 80+ members
• Discovered new Western markets, engaged with clients in technology discussions, and implemented business analysis stage in customer relations
• Conducted medical, business, and educational projects/products
• Proficient in Jira, Redmine, Axure, and other project management tools
• Strong technical background, including iOS, Android, PHP, and Drupal
• Demonstrated ability in managing change and risks
• Excellent communication and leadership skills

Education:
• Professional development courses in Agile, Scrum, Kanban, DSDM, and business analysis
• Advanced Business English
• Master's degree in a relevant field."
3133,"---
9 years of experience as a Project Manager, Business Analyst, and Scrum Master in outsourcing and product environments.

• Proficient in Agile project management methodologies including Scrum, XP, and Kanban.
• Strong background in Product and Business Analysis.
• Experienced in presale activities, including solution design and estimation processes.
• Managed multiple concurrent projects and teams, ranging from 3-9 members each.

• Facilitated teams and customers in adopting Agile mindset and practices, such as MVP, feedback loops, CI, PP, TDD, and CR.
• Assisted with organization-wide process improvements, including presale, hiring, onboarding, and feedback.
• Skilled in coaching and group facilitation (certified coach).

• Experience in web, e-commerce, and gaming business domains.
• Ensured transparency in communications and simplicity in processes.
• Managed up to 3 simultaneous projects/teams, or 1-2 projects/teams with presale involvement.
---"
3134,"**Experience**

**Project Manager/Scrum Master**
Sensorama Lab, Kiev, 07/2018 - 06/2028

* Implemented agile methodologies, managed sprints, stand-ups, reviews, retrospectives with team and Product Owner.
* Defined, documented, maintained, and communicated roadmap with Product Owner.
* Created briefs, estimations, project plans, and other docs.
* Translated discussions into detailed user stories, epics, and tasks.
* Managed story writing, prioritization, tracking, and acceptance of the product backlog.
* Managed release scope schedule, delivering value regularly and on time.
* Ensured product backlog was prioritized, groomed, and refined to avoid ambiguity in specifications.
* Collaborated with management and other leaders to identify and implement team process and workflow improvements.
* Defined and refined agile metrics and reporting to understand and communicate team performance.

**Project Manager**
Maybe.Works, Kharkiv, 01/2017 - 06/2018

* Led a team of developers, designers, 3D artists, and QA testers through the entire project lifecycle using Agile development methodologies.
* Managed schedules, user stories, risk mitigation plans, scope, budget tracking, and other production-related items.
* Acted as the main client contact for all project-related communication, building strong relationships.
* Sourced and managed external partners, ensuring clear transfer of project requirements and timeline, closely tracking progress for out-of-office teams.
* Reviewed contracts and authorized change orders that may arise.

**Project Manager**
Kharkiv Blockchain project, 01/2018 - 06/2018

* Delivered MVP of a suite of free-to-use, multi-platform applications including the world’s first fully-functional Decentralized Marketplace two weeks ahead of schedule.
* Assisted the client in receiving a large investment (Over $1 million) after MVP.
* Managed projects using Agile (Scrum, Kanban, Lean, XP) and Waterfall methodologies.
* Prepared, maintained, and communicated schedules, documentation, and statuses.
* Conducted risks and resource management.

**Skills**

* Agile (Scrum, Kanban, Lean, XP)
* Waterfall
* Project Management Office (PMO)
* Briefs, Estimation, Project Plan, Reports, Gantt Chart
* Risks Management
* Resource Management
* Touch Typing"
3135,"Certified SAFe® 5 Agilist

Experience:

Endava, December 2"
3136," Project Manager, IT

• Over 10 years of IT experience
• Began career as a web developer
• Managed multiple IT projects from conception to completion
• Coordinated cross-functional teams of up to 20 members
• Skilled in Agile and Waterfall methodologies
• Proficient in project management tools such as Jira, Trello, and MS Project
• Experience in budgeting and resource allocation
• Excellent communication and leadership skills
• Bachelor's degree in Computer Science."
3137," Agile Project Manager

• Implemented Agile best practices in 14 teams, setting up Scrum from scratch in 5 teams, leading to over 100 successful production releases
• Served as Crisis Manager, guiding a team from zero releases to regular monthly releases
• Developed processes from idea to development, testing, and release, coordinating design and development departments
• Experienced Scrum Master and Product Owner, building and maintaining Scrum in teams from scratch, with expertise in Scrum, Kanban, Nexus, and SAFe
• Oversaw scope, release, people, risk, quality, and stakeholder management, establishing process standards, approaches, and culture development within development teams
• Seeking a job with flexible work arrangements, in a product company with a positive atmosphere, where I can contribute to process creation and decision-making activities to improve development process's quality, speed, and transparency

Accomplishments:
• Implemented Agile practices in 14 teams, setting up Scrum from scratch in 5 teams
• Performed as Crisis Manager, guiding a team from zero releases to regular monthly releases
• Coordinated the work of the design and development departments
• Conducted PM interviews and interviewed tech specialists in Project management interviews to ensure a new person fits a team and company values
• Gained experience in Scrum, Kanban, Nexus, and SAFe, working in fintech, health, e-commerce, social networks, education, and other industries."
3138,"Karine
Project Manager

* 3 years in project management, specializing in waste reduction and client goal achievement
* Collaborated with software development teams, promoting Scrum and Agile methodologies
* Set up Jira environment with customized components and swimlanes, improving developer experience with management platform

Contact Information:

* Available weekdays, GMT+4 time zone
* [contact information removed for this example]"
3139,"Certificates:
- Scrum, SAFe
- Soft Skills and Project Management, ITEA
- PMP Exam Preparation course (attended)

Experience:
- Project Management: Managed multiple projects (2 large, 3 small), completing web solutions for financial analysis. Established IT Project Management Process in scrum methodology. Led full project lifecycle (web development), maintaining budget. Coordinated high-quality product releases, adhering to deadlines. Prepared comprehensive Project Status Reports.
- Scrum Master: Served as Scrum Master for a 19-member team. Facilitated team meetings (stand-ups, retrospectives, estimations, sprint planning). Planned sprints in Jira and Confluence, creating tasks, tracking time.
- Remote Team Management: Collaborated with remote team and fostered a positive working environment, developing personal growth opportunities, reviewing team performance.
- Budgeting: Managed budget for web development projects.
- Agile Methodologies: Proficient in Agile methodologies and SAFe.
- Web Development: Experienced in web development.
- Personal Growth and Development: Focused on personal growth and development.
- Client Communication: Skilled in client communication.

Skills:
- Project Management
- Scrum, SAFe
- Jira, Confluence
- Remote Team Management
- Budgeting
- Agile Methodologies
- Web Development
- Personal Growth and Development
- Client Communication"
3140," CSM

* Management 3.0
* Over 4 years of experience in the Game industry in the roles of Scrum Master, Scrum Coach, Project Manager, and Group Manager.

Responsibilities and achievements in previous workplaces:

* Expanded company department from 10 to 40 employees
* Successfully instilled Agile values and principles in a team of 40+ people
* Advocated for the adoption of scaled Agile best practices and tools for optimal business and product value delivery at the company level
* Fostered a culture of quality (zero defects approach) across teams
* Managed and developed individuals in a matrix-like organizational structure, supervised individual HR processes within teams
* Led continuous improvement in process and engineering practices at the company level
* Oversaw day-to-day operations for dispersed teams in Kiev, Kharkov, and Dnipro (20+ people)
* Empowered teams to become self-organized Scrum teams, capable of executing plans and meeting commitments
* Mentored and guided Scrum Masters in team ceremonies (sprint plannings, demos, retrospectives), as well as release planning, dependencies and risk management, impediments and issues resolution
* Supported development processes and measured team performance.

Seeking a job opportunity to fully express myself and achieve incredible results."
3141,"""Agile Project Management Experience:

• Over 5 years of leading and managing agile teams in the development of iOS, Android, and web applications.
• Expertise in driving projects to successful and timely completion, serving as a dedicated point of contact for facilitating communication and collaboration between team members and global colleagues.
• Consistently delivered high-quality products on time and within budget in a variety of challenging and dynamic projects."""
3142,"Pacto Systems, Ltd, UK
Scrum Master/Agile Project Manager
August 2017 - Present
• Led daily stand-ups, sprint planning, reviews, and retrospectives, promoting Agile principles.
• Organized Agile teams, fostering a culture shift towards Agile methodologies.
• Tracked team velocity, managed impediments, and achieved sprint goals.
• Conducted industry research, maintained customer relationships, and facilitated demos with clients.
• Elicited, elaborated, and documented requirements, investigating data discrepancies.
• Identified and documented relationships between datasets, modeled solutions, and produced BRDs.
• Ensured requirement alignment with business needs, obtained stakeholder approval, and maintained quality standards.
• Managed cloud platform and web application development projects, identifying and documenting change requirements.
• Analyzed processes, root causes, business impacts, and identified improvement opportunities.
• Ensured compliance with policies, standards, and best practices, evaluating processes, products, and services.

Tungus, LLC, Clermont, FL, USA
Agile Project Manager
October 2015 - October 2017
• Established company operations, automating processes, managing day-to-day tasks, and coaching/motivating the team.
• Managed effective and successful team operations, providing feedback and advice to the project team."
3143," Project Manager and Scrum Master

• Extensive experience in IT areas: quality assurance, business analysis, and project management
• Proficient in SDLC and CI tools including Jira, Confluence, and Jenkins
• Expert in Agile (Scrum, Kanban) and Scaled Agile Framework
• Designed and implemented tailored development and QA processes, led Scrum and Kanban ceremonies
• Demonstrated experience in leading and coaching agile teams for over 5 years
• Successfully scaled agile for up to 100 team members, established cross-team communication, synchronization, and release procedures
• Proficient in people management: personal development planning, hiring, and on-boarding new team members
• Advocate for reducing bureaucracy, increasing agility, and promoting common sense
• Passionate about product quality."
3144,"Running an Agile Team:

* Initiated and established an Agile team from scratch
* Facilitated daily scrums, sprint planning, sprint demos, and retrospective meetings
* Provided coaching to the team on following Agile/Scrum best practices

Client Delivery:

* Conducted demo presentations for clients to showcase project progress and deliverables
* Facilitated the estimation and project planning process, ensuring alignment with client expectations and deadlines

Team Onboarding and Mentoring:

* Onboarded newcomers during project execution, enabling a smooth integration into the team
* Mentored new team members, fostering their professional growth and development

Product Backlog Management:

* Assisted the Product Owner in creating and maintaining product backlogs
* Prioritized user stories and ensured they adhered to the defined user story template

Impediment Removal and Risk Management:

* Identified and removed impediments to ensure the team's smooth progress
* Conducted risk assessment and tracking to proactively address potential issues

Requirements Analysis:

* Analyzed user stories and requirements to ensure clarity and alignment with project goals

Additional Qualifications:

* Emphasis on professional growth and development throughout my career
* Conveniently located office, easily accessible by metro."
3145," * Accomplished senior executive with 10+ years of experience in high-tech field, known for driving results and ambitious business improvement.
* Proven track record in revenue growth and operational efficiency, holding positions as CTO, Head of PMO, and Senior Project Manager.
* Proficient in managing teams of up to 160 technical professionals and experienced in Fixed Price and Time & Material contracts.
* Certified Project Management Professional (TUV Rheinland) and ISO 9001 Specialist (TUV Rheinland, Cologne, Germany) with Scrum Master certification.

Developed Agrifinance.io from scratch as CTO, leading to a successful product.
Gathered and led team as Head of PMO to develop the first crypto-bank at minexsystems.com.
Contributed to multiple small-scale projects as Senior Project Manager at state reformatory startup prozorro.sale.

Skilled in Scrum, Kanban, and Waterfall methodologies."
3146,"Certified Agile Project Manager (ICP-APM) and Certified Scrum Master (PSM I) with 3+ years of experience in delivering projects effectively.

• Managed projects from ideation to commercial launch, improving company structures through the implementation of Scrum framework, Kanban, and project management tools.
• Expert in setting up effective working processes for in-house and distributed development teams, ensuring project goals are met within time and budget constraints.
• Strong communication and leadership skills, with the ability to inspire and coordinate all project activities to exceed set targets.

Proficient in preparing and facilitating reports, workshops, and meetups on Lean Startup, Lean Software Development, Agile, Scrum, and other methodologies.

• Committed to spreading Agile culture and mindset.
• Experienced in preparing and facilitating reports, workshops, and meetups on Lean Startup, Lean Software Development, Agile, Scrum, and other methodologies.
• Proven track record of inspiring and coordinating project activities to exceed set targets.
• Adept at setting up effective working processes for in-house and distributed development teams.
• Skilled in managing projects from ideation to commercial launch, improving company structures through the implementation of Agile frameworks.
• Committed to ensuring project goals are met within time and budget constraints.
• Strong communicator and leader with the ability to motivate team members and exceed targets."
