id,GPT4o
27,"       --- Professional SummaryUI/UX Designer with extensive experience in advertising, printing products, and full-scale project management. Proven track record in leading teams on large-scale projects, with expertise in web service creation and website redesign. Strong focus on user experience and responsive design for various devices. Eager to engage in new opportunities with a dynamic and team-oriented environment.--- Professional ExperienceUI/UX Designer- Webservice Project  - Scope: Full design cycle  - Description: Developed a medical web service for finding and making appointments with doctors. Created user, doctor, and online consultation interfaces. Fully adapted the service for tablets and mobile phones to enhance user accessibility.- Redesign Project  - Scope: Complete design cycle  - Description: Led the redesign of a sports bar website, focusing on updating its outdated visuals and improving usability. Implemented a new design for an intuitive booking system. Fully adapted the site for tablets and mobile phones to ensure a seamless user experience across devices.- Project Leadership  - Held leadership roles in several large projects, demonstrating an ability to manage teams and deliver high-quality results within set timelines. Experienced in enhancing team collaboration and driving project success.--- Skills- UI/UX Design- Project Management- Advertising- Printing Products- Website Redesign- Web Service Development- Responsive Design- User Interface (UI) Development- Customer Experience Enhancement--- Personal StatementContinuously improving my skills as a UI/UX designer fuels my passion for the field. I look forward to new acquaintances, engaging in compelling projects, and joining a friendly and collaborative team environment.------"
28,"Junior UI/UX DesignerOverviewMotivated Junior UI/UX Designer with extensive knowledge in Figma and WebFlow, and a proven record in designing presentations at the ministerial level. Adept at creating UI kits, working with design systems, conducting stakeholder and user interviews, and performing user testing. Skilled in both visual design and practical coding, with a passion for attention to detail and innovation.Key Qualifications:- Proficient in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping)- Proficient in WebFlow (CMS, responsive design, animations, publishing, integrations)- Experienced in creating UI kits and working with design systems- Recognized for strong visual skills by previous manager and Projector mentor- Skilled in conducting stakeholder and user interviews- Experienced in user testing- Basic knowledge of HTML/CSS and Bootstrap- Detail-oriented with a strong ability to generate and propose ideasProfessional Experience:- Designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, which was presented to the mayors of Ukraine's large cities to promote digital transformation.Domains Worked In:- UI Design: Clothes shop (web and mobile app), dentistry, public transport app, electronic document management system- UX and UI Design: Pizza delivery, recruitment & job board sitesObjective:Seeking a Junior UI/UX Designer position in a collaborative team environment with a mentor to support my professional growth and development."
29,"Junior UI/UX DesignerSummaryI am a junior UI/UX designer with a solid theoretical foundation and practical experience in the pharmaceutical field, which has honed my ability to create user-centered designs. I have completed five projects as part of my training, where I learned to design mobile applications, landing pages, dashboards, web services, and website redesigns. My skills include competitive site analysis, user surveys, User Flow creation, and Customer Journey Mapping (CJM). I'm proficient in Figma and Adobe Photoshop and excel in core technical skills. Additionally, my strong soft skills make me an excellent team player and problem solver. I am an energetic, great communicator, and organized, quick and responsible learner with a passion for creating helpful and intuitive user interfaces that positively impact user experience. I am open to internship or job offers.Skills- Figma- Adobe Photoshop- Landing Page Design- Website Design- Mobile App Design- Competitive Site Analysis- User Surveys- User Flow Creation- Customer Journey Mapping (CJM)- Team Player- Problem Solver- Communication- OrganizationProjects ExperiencePetDetective – Web ServiceDeveloped a platform to help owners find lost animals and enable volunteers to assist in the search. Responsibilities included analyzing competitor sites, conducting user interviews, and identifying necessary functionalities for user convenience.Cucina di Catharina – Website RedesignRedesigned a website for homemade traditional Italian gravy. Responsibilities included structuring site information, adding high-quality photos, reducing content, and creating a CTA button with accent colors for better user engagement.PresentPerfect – Mobile AppCreated a mobile app for sending personalized gifts. Utilized the Material Design System, analyzed competitor apps, conducted user interviews, created user personas, and developed user flows. Designed over 40 animated screens with a focus on detail.Dashboard for IT SchoolDesigned a dashboard for IT school students and teachers. The dashboard displays key metrics to enhance the educational experience.Timeless Home – Landing PageDesigned a landing page to make visitors feel welcome and encourage engagement with our watches. Created an intuitive user interface and a well-structured layout to maintain user attention.Professional Development- Career growth- Results-focused and open team collaboration- Availability of remote or partially remote work- Strong corporate culture and work ethic- Value placed on each employee"
30,"Junior UI/UX DesignerSummaryI am a junior UI/UX designer with a solid theoretical foundation and practical experience in the pharmaceutical field, which has honed my ability to create user-centered designs. I have completed five projects as part of my training, where I learned to design mobile applications, landing pages, dashboards, web services, and website redesigns. My skills include competitive site analysis, user surveys, User Flow creation, and Customer Journey Mapping (CJM). I'm proficient in Figma and Adobe Photoshop and excel in core technical skills. Additionally, my strong soft skills make me an excellent team player and problem solver. I am an energetic, great communicator, and organized, quick and responsible learner with a passion for creating helpful and intuitive user interfaces that positively impact user experience. I am open to internship or job offers.Skills- Figma- Adobe Photoshop- Landing Page Design- Website Design- Mobile App Design- Competitive Site Analysis- User Surveys- User Flow Creation- Customer Journey Mapping (CJM)- Team Player- Problem Solver- Communication- OrganizationProjects ExperiencePetDetective – Web ServiceDeveloped a platform to help owners find lost animals and enable volunteers to assist in the search. Responsibilities included analyzing competitor sites, conducting user interviews, and identifying necessary functionalities for user convenience.Cucina di Catharina – Website RedesignRedesigned a website for homemade traditional Italian gravy. Responsibilities included structuring site information, adding high-quality photos, reducing content, and creating a CTA button with accent colors for better user engagement.PresentPerfect – Mobile AppCreated a mobile app for sending personalized gifts. Utilized the Material Design System, analyzed competitor apps, conducted user interviews, created user personas, and developed user flows. Designed over 40 animated screens with a focus on detail.Dashboard for IT SchoolDesigned a dashboard for IT school students and teachers. The dashboard displays key metrics to enhance the educational experience.Timeless Home – Landing PageDesigned a landing page to make visitors feel welcome and encourage engagement with our watches. Created an intuitive user interface and a well-structured layout to maintain user attention.Professional Development- Career growth- Results-focused and open team collaboration- Availability of remote or partially remote work- Strong corporate culture and work ethic- Value placed on each employee"
31,"          ---Objective:  Seeking a stable position within a company that values human capital over short-term gains, with a particular interest in HR-related roles. Ready to start in an entry-level position with an expectation for career progression based on performance.---Professional Experience:Photo Operations Manager  Royal Caribbean and Celebrity Cruises- Drove financial and employee satisfaction results of the Photo operation onboard Royal Caribbean and Celebrity Cruises ships.- Consistently adjusted marketing strategies to meet the current needs of the business.- Fully responsible for welcoming and smooth acclimatization of new staff members.- Led teams of 10 to 13 employees, creating and correcting work schedules to accommodate necessary changes, organizing team activities, and ensuring employee satisfaction.- Addressed customer service issues both proactively and reactively, ensuring no guest left the Photo Gallery dissatisfied.- Earned trust and confidence from ship’s officers, department heads, and shore side management through professional communication.Intern    (Specialized in Shopify Web Development)- Completed a 3-month internship focused on Shopify web development.  ---Summary of Experience:- 4 years of experience managing teams of 10-25 employees in the cruise industry as Head of Department.- Responsible for reaching financial targets, training, and development of new employees.- Skilled in business communication with clients and management.---Skills:- Team Leadership- Marketing Strategy Adjustment- New Employee Orientation and Acclimatization- Customer Service Resolution- Professional Communication- Shopify Web Development (Internship Level)---Education:   |     ---References:  Available upon request"
32,"Professional Summary:Dedicated and motivated professional with experience in project management, coding, and various technologies. Proven track record in organizing successful projects and events, and adept at working with diverse teams. Seeking opportunities for professional and personal growth in a dynamic and challenging environment.Experience:Project ManagerStart-Up - Smart Weather Station for Paragliders- Collaborated with groupmates to create a start-up focused on developing a smart weather station for paragliders.- Successfully pitched the project to stakeholders and secured potential investments before the project was interrupted by external circumstances.- Communicated effectively with stakeholders, gathered and analyzed market information, organized meetings, and created comprehensive project documentation.MemberAIESEC International Organization- Organized various events and projects as part of an international team.- Worked collaboratively with individuals from different countries, enhancing cross-cultural communication and project management skills.Skills:- Project Management- Stakeholder Communication- Market Analysis- Event Organization- Coding- Proficiency in Various TechnologiesObjective:Driven by a passion for growth and development, I aim to contribute to an organization where I can leverage my skills in project management and technology, while taking on new challenges that promote continuous professional and personal advancement."
33," (if applicable)---Professional SummaryWith over 4 years of design experience, I have a strong background in graphic and web design, specializing in technology for electronic multimedia publications. I hold both a bachelor's and master's degree from KhNEU. S. Kuznets. My expertise includes creating and redesigning corporate identities, drafting design briefs, managing projects from start to finish, and effective customer communication. I excel in planning, handling risks, and solving problems swiftly. My knowledge of psychology helps me understand and connect with people effectively.---ExperienceWeb and Graphic DesignerLOGOVO, Kharkiv, UkraineFeb 2019 – May 2020- Developed corporate identities- Designed printed products- Prepared files for printing- Developed websites on WordPress- Created advertising bannersContent ManagerCOZI.UA, Kharkiv, UkraineAug 2020 – Sept 2020- Organized and conducted photo shoots- Created photo and video content- Wrote scripts for client communicationTrainee, Layout MakerNewspaper «Kharkiv News», Kharkiv, UkraineOct 2021 – Nov 2021- Prepared layouts for printing- Processed illustrative material- Placed materials on newspaper pages---Competitions- Participated in city competitions to create a logo for the Department of Family, Youth and Sports---Skills- Graphic and web design- Corporate identity development- Project management- Client communication and brief drafting- Problem-solving and risk management- Planning and organization- Knowledge of CSS/HTML- Understanding psychology to connect with people---EducationMaster's Degree in Graphic/Web Design (Technology of Electronic Multimedia Publications)KhNEU. S. Kuznets, Kharkiv, UkraineBachelor's Degree in Graphic/Web Design (Technology of Electronic Multimedia Publications)KhNEU. S. Kuznets, Kharkiv, Ukraine"
34,"Trainee Project Manager | Junior Project Manager---Summary:Dedicated and proactive Trainee/Junior Project Manager with one year of experience in the end-to-end delivery of commercial projects using Agile methodologies such as Scrum and Lean. Proven track record of leveraging critical thinking and analytical skills to achieve project goals efficiently.---Professional Experience:Trainee/Junior Project Manager- Successfully delivered commercial projects using best Agile practices including Scrum and Lean.- Led a team of six translators and technical consultants, ensuring timely project completion despite limited reference materials and stringent deadlines.- Managed a project on maintenance documentation for high-value equipment, resulting in a 2.5x reduction in lead time and the creation of over 10,000 highly technical words in Ukrainian in just eight days.- Demonstrated exceptional organizational and decision-making skills in fast-paced, high-pressure environments.- Recognized for excellent communication and stakeholder management at all levels.---Additional Professional Experience:Qualified Interpreter- Two years of experience in interpretation across various fields such as military, IT, and humanitarian work.---Skills:- Project Management- Agile Methodologies (Scrum, Lean)- Team Leadership- Critical Thinking- Analytical Skills- Prioritizing- Decision-Making- Communication- Stakeholder Management---Strengths:Result-driven, highly organized, and structured individual known for thriving in fast-paced and high-stress scenarios while delivering meaningful results."
35,"---Professional ExperienceHead of PharmacyPharmacy Chain ""Gamma-55""  July 2014 to August 2019 (5 years)  - Safely administered immunizations, travel medicine, medication therapy management, and other specialty programs.- Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.- Collaborated with healthcare professionals to monitor and evaluate medication therapy quality and effectiveness.- Trained and supervised technicians and sales assistants for smooth pharmacy operations.- Managed busy schedules and sales plans resulting in a 10% increase in annual revenue.- Got promoted from pharmacist to head of pharmacy after 2 years of work.Private Entrepreneur/Senior Sales ManagerWomen's Clothing Chain  August 2019 to February 2022 (2 years, 6 months)  - Customized customer experiences to build brand loyalty.- Supervised work of contracted employees to deliver work on schedule.- Met schedules using excellent planning and coordination skills.- Explored and created new ways to resolve problems with processes, technology, or team members to improve overall efficiency.Trainee Project Manager (Pet Project)IT School IAMPM Project Management Courses  March 2022 to August 2022 (6 months)  - Developed a detailed project plan to track progress.- Used appropriate verification techniques to manage changes in project scope, schedule, and costs.- Performed risk management to minimize project risks.- Created and maintained comprehensive project documentation.- Experienced with tools: Miro, Product Plan, Jira, Confluence, Trello.---Skills- Project Management: Miro, Product Plan, Jira, Confluence, Trello- Sales and Customer Relationship Management- Team Leadership and Training- Planning and Coordination- Pharmacy Operations Management- Risk Management and Problem Solving"
36,"---Professional SummaryDynamic and results-driven professional with a diverse background in radiotechnical systems engineering, business process optimization, and digital advertising management. Demonstrated success in optimizing production processes, developing comprehensive accounting systems, and enhancing client relationships and ad campaign performance. Skilled in communication, project management, and technical analytics. Adept at leading teams to achieve strategic objectives and drive business growth.---Work ExperienceTRENDOAccount Manager  July 2022 - Present  - Communicate with foreign clients to achieve satisfactory results.- Analyze and report on advertising campaigns.- Conduct sprint meetings with the project team to distribute tasks and deadlines.- Work in accordance with the Kanban methodology.- Set up websites with GTM.- Customize Universal and GA4 analytics.- Establish conversions for Google Ads.- Optimize Google Merchant and Shopify platforms.ZEZMANJunior Project Manager / Junior Business Analyst  September 2021 - April 2022  - Created schedules and collected documents to guide projects and outcomes.- Communicated with stakeholders about scheduling, staffing, and technical requirements.- Organized work for the Business Analytics Unit.- Planned large-scale digitalization projects and implemented electronic document management systems.- Supported the implementation and optimization of business processes.ORCSSDAdministrative Manager (Project Sphere)  July 2020 - September 2021  - Created schedules and collected documents to guide projects and outcomes.- Translated metrics into actionable intelligence.- Managed expectations and tracked risks and benefits.- Communicated with stakeholders about scheduling, staffing, and technical requirements.Vs ProjectJunior Technical Project Manager  February 2020 - April 2020  - Oversaw full project life cycle ownership, from initiation to deployment.- Ensured projects adhered to scope, schedule, budget, and quality standards.Government ProjectsTrainee Project Manager  October 2019 - December 2019  - Planned, managed, and monitored project execution.- Delivered projects on-time and within budget.---Skills- Business Process Optimization- Advertising Campaign Analytics- Client Communication- Project Management- Digitalization and Electronic Document Management- GTM and Google Analytics- Google Ads and Google Merchant Customization- Shopify Optimization- Kanban Methodology---EducationRadiotechnical Systems Engineering  Management and Optimization of Business Processes---Key Achievements- Developed a system to optimize and automate the electrolysis system in a copper plant, saving and controlling a key production step.- Devised a new accounting and control system for production stages.- Managed and enhanced advertising campaigns, achieving a ROAS of 700% per month.- Built comprehensive communication strategies that led to positive client feedback and successful project outcomes.---Languages- ---ReferencesAvailable upon request."
37,"          ---EducationKyiv National Linguistic University (KNLU), Kyiv  Bachelor’s Degree in Philology, Specialist of Translations (English)  2009 - 2013  Kyiv National Linguistic University (KNLU), Kyiv  Master of Arts in Translation, Specialization in Philology and Interpretation - Diploma with Honors  2013 - 2014  ---Additional Education and Certificates- Certificate of Completion: ""Deeply Practical Project Management"" by William Stewart PhD, PMP (2019)  - Certificate in ""Event Management,"" Kyiv Advertising School (2015)  - ""The First State Courses of Foreign Languages"" Certificate (English)  - Certificate: Participation in ""Days of reading of the novel 'Don Quixote,'"" signed by José Rodríguez Moyano, Ambassador of the Kingdom of Spain in Ukraine (2012)  - 1st Place Certificate in Poetry Translation Competition during the Days of the Spanish Language  - Certificate: Participation in the 1st Ukrainian Scientific and Practical Conference of Young Scientists  ---ExperienceTutor  English (since 2008) and Spanish (since 2012)  Freelancer  Project Management, Interpretation of English and Spanish  - Managed several web projects  - Cooperated with the Luxe Cube brand company  - Collaborated with Spanish private individuals  Translation Agency ""Antey""  Translator and Interpreter  2012 - 2016  - Translated texts across various thematic areas, including documents from/into English and SpanishNEOGENIA Ltd.  Customer Service Manager, Interpreter/Translator (Spanish and English), Medical Coordinator, Operations Management  January 2016 - August 2017  - Coordinated medical consultations and support for foreign clients at clinics and hospitals  - Managed correspondence and communication with foreign clients  - Translated texts, including medical documentation  - Provided client support, consecutive interpreting, business negotiations, visa support, and sales managementIVF-Group LLC, International Department of “Mother and Child” Medical Center  Operations Manager, Manager of International Affairs, Interpreter/Translator (Spanish and English), Customer Service Manager  September 2017 - Present  - Coordinated medical programs and provided consultation and support for foreign clients at clinics and hospitals  - Handled correspondence and communication with foreign clients  - Translated legal and medical documentation  - Provided client support, consecutive interpreting, business negotiations, sales management, and program coordination  ---Skills- Customer Operations Management, Conflict Management (over 4 years)  - Basic understanding of web application development flow, control systems, project pre-sale, project estimations, costs, and task management  - PM Methodologies: Scrum, Agile, Kanban  - PM Platforms: Jira, Trello, YouTrack  - Experience with G-suite  - Basic Knowledge: ABBYY Fine Reader, Multitran, Lingvo, Adobe Photoshop, Open Office, Microsoft Office 8/10"
38," Resume Ukrainian Corporate Governance Academy (UCGA)Position: Project Manager & CEO Assistant  Period: March 2022 - November 2022Responsibilities:- Keeping track of project progress- Participating in daily meetings- Scope & schedule planning- Organizing and managing meetings for current/new initiatives- Assisting the team with ongoing tasks during the project- Documenting the resources required to achieve project objectives- Conducting research required for any initiatives- Optimizing and managing organizational spending- Preparing meeting follow-ups and presentations- Leading reporting to the board of directors on tasks completed- Conducting retrospectives with the team- Tracking the achievement of the company's long-term goals Dattalion (Volunteering)Position: Data Collection Team Lead & Operations ManagerResponsibilities:- Develop, implement, and review operational policies and procedures, write data collection guidelines- Onboard new data collection managers- Monitor compliance with internal regulations and oversee the data collection process- Formulate strategic and operational objectives- Perform quality controls and monitor KPIs- Work with partners, donors, co-founders, and other managers- Participate in weekly meetings to understand the project's state and needs- Lead, motivate, and support the team, maintaining a positive environment- Identify and address problems and opportunities for the project- Manage and review budget usage, reporting cost plans to upper management- Review and approve all operational invoices, ensuring they are submitted for payment HCM International Ltd.Position: Researcher & Analyst  Period: January 2019 - February 2022"
39,"          --- EDUCATIONState Flight Academy of Ukraine  Bachelor Degree  Graduated: June 2012  Kirovograd Flight Academy of the National Aviation University of Ukraine  Specialist Degree (equal to Master’s Degree)  Graduated: July 2013  Beihang University of Aeronautics and Astronautics  Specialty: Navigation, Guides, and Control  Entered: September 2015  --- CERTIFICATIONS- ICAO English and Phraseology Exam - 4th Level, December 2012- TOEFL iBT Scaled Scores - Intermediate Level (Score: 86), July 2015--- RESEARCH AND PUBLICATIONSAir Traffic Management Research  State Flight Academy of Ukraine  June 2013  - Published research on ""Patterns of Activity of Operators in the System of Air Navigation Services in Case of Delays.""Conference Paper  In cooperation with Zheng Shuai-Yong  May 2016  - Published ""An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle.""Book Publication  Beihang University, under professor Quan Quan  June 2017  - Contributed to and published “Introduction to Multicopter Design and Control.”Conference Presentation  October 2017  - Presented paper “Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace” at an International Conference.--- PROFESSIONAL EXPERIENCEHead of Education Department  Beihang University  January 2018  - Appointed as Head of Education Department.Intern  TUS HOLDING Ltd.  March 2018 – Present  - Engaged in ongoing projects as an intern.--- SCHOLARSHIPS AND AWARDSBeihang University  December 2016  - Awarded scholarship for outstanding behavior and activities participation.--- PROJECTS AND EXPERIMENTSComparison of Detection and Avoidance Systems for UAVs  November 2017  - Involved in experiment project ‘Comparison of using the 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance.’Innovative Ideas and Implementations  January 2017  - Developed ideas for:   - Micro drones flights inside city implementation in China   - Altitude Control for Micro Small Drones Flying at Low Altitudes of the National Airspace  - Offline Local Maps Creation for Micro Drones Outside Implementation for Commercial Use--- LANGUAGE SKILLS- Ukrainian, Russian: Native languages- English: Advanced (TOEFL 96, ICAO 4)- Chinese: HSK3, continue studying- Spanish: Pre-intermediate, can continue to study if necessary--- TECHNICAL SKILLS- Operating Systems: iOS, Windows, Linux- Computer Programs: MS Office, Mac Office- Task Operational Programs: Mantis, Leader Task- Graphic Editors: Photoshop, Corel- 3D Printing Applications: 3D Max, Cura, Meshmixer- Computer Languages: HTML, SQL, MATLAB, Python- File Sharing and Cloud Systems- Office Equipment- Social Networks: Facebook, Twitter, Instagram, WeChat"
40,"---Professional Summary:Accomplished professional with dual higher education degrees and a Cambridge Certificate. Proven track record of rallying and motivating teams, even in challenging circumstances, leading them to success. Adept at acquiring new skills and roles, demonstrated by earning a second place in a project management competition despite a non-IT background. Co-founder of a mobile app startup with comprehensive experience in project management, client relations, public relations, IT English teaching, content writing, copywriting, and translation. Strong understanding of Agile methodologies and IT project management practices, including Scrum, Kanban, Scrumban, and Waterfall. Seeking to join a passionate, professional team that values growth, learning, and a positive work environment.---Key Qualifications:- Cambridge Certificate (English C1)- Strong understanding of Agile philosophy and modern IT project management methodologies: Scrum, Kanban, Scrumban, Waterfall- Knowledge of JIRA, Trello, ROADMAP- Understanding of the Software Development Life Cycle (SDLC)- Proven ability to create and execute project plans- Skilled in managing day-to-day operational activities of projects- Experienced in maintaining documentation and organizing people and projects- Conducting training sessions and negotiations- Proficiency in English (C1)---Professional Experience:Co-Founder, Mobile App Startup- Spearheaded the development and launch of a mobile application- Managed key client relationships and PR activities- Created and translated content, ensuring accuracy and relevanceIT English Teacher- Provided specialized English language training focusing on IT terminology and practices- Developed and delivered course materials, adapting to various learning stylesKey Clients Manager / PR Manager- Managed relationships with key clients to ensure satisfaction and retention- Executed public relations strategies to enhance company visibility and reputationContent Writer / Copywriter / Translator- Produced high-quality written content for various platforms- Translated materials to ensure clear communication across language barriers--- Education:- , - , ---Achievements:- Earned second place in a project management competition- Successfully transitioned to a new profession, demonstrating resilience and adaptability---Personal Statement:I am seeking to work with a friendly and enthusiastic team that shares my passion for knowledge and technology. It is crucial to me to be part of an environment that recognizes the potential in individuals who are eager to learn and work hard. I am looking for a company that provides opportunities for growth and values a positive, supportive workplace atmosphere."
41,"---Professional SummaryDriven and experienced Project Manager with a robust track record of managing multiple projects simultaneously and ensuring delivery within budget and specified time frames. Adept at self-organization while working remotely and maintaining strong client relationships. Proven skills in team coordination, task prioritization, and client communication.---Professional ExperienceProject Manager |  |  – Present- Successfully implemented various projects of differing complexity within budget and timelines.- Managed multiple projects concurrently, setting tasks for staff and ensuring task execution.- Enhanced work efficiency and productivity.- Self-managed work as a remote employee, demonstrating high levels of self-organization.- Gained extensive experience and skills through client interactions.Key Responsibilities:- Comprehensive understanding of project management processes and development life cycles.- Effectively managed customer expectations through written and spoken communication.- Conducted thorough research and gathered necessary information about potential clients.- Maintained detailed project documentation.- Identified customer requirements and goals to propose optimal solutions and provided informed recommendations.- Ensured effective customer management through consistent communication.- Coordinated project timelines with clients.- Prioritized team tasks and facilitated team scheduling and management.- Conducted preliminary testing of completed tasks.- Developed and maintained strong, long-lasting client relationships.- Demonstrated outstanding communication skills and took responsibility for personal work tasks.---Skills- Project Management- Methodologies: Waterfall, Agile, Kanban, Scrum- Team Management- SalesTechnical Proficiency- Microsoft Office Suite- WordPress- Trello- Slack---Personal Attributes- Strong communication skills- Ability to motivate and manage people- Conflict resolution abilities- Comfortable in fast-paced environments- Expertise in managing multiple tasks/projects and meeting deadlines- Highly organized and detail-oriented- Committed to professional development---ObjectiveSeeking a new opportunity as a Project Manager in the IT sector to work on engaging projects and further enhance my skill set.---"
42,"---Objective:To utilize my technical skills and knowledge obtained from my diploma as a junior specialist in a technical specialty to contribute to the success of your organization. I am committed to continuous learning and eager to develop my expertise in this field.---Education:Diploma of Junior Specialist in Technical Specialty- Acquired foundational knowledge and understanding of technical processes- Emphasis on practical tasks and projects, gaining real-world experience with hardware and software- Participation in student competitions, enhancing teamwork and problem-solving abilities- Demonstrated ability to learn new technologies and a strong desire to acquire knowledge in technical competence---Skills:- Basic technical knowledge of hardware and software- Teamwork and collaboration experience- Problem-solving skills- Independent study of programming and web design- Experience in developing personal projects- Participation in online courses and webinars to enhance technical knowledge- Strong communication and organizational abilities acquired through volunteer activities---Volunteer Experience:- Active participation in volunteer activities, developing cooperation, communication, and organizational skills---Additional Experience:- Independent study and application of programming and web design skills in developing personal projects- Active engagement in online courses and webinars to deepen understanding of technological topics---Certifications and Courses:- Various online courses and webinars on programming, web design, and other technological skills---Career Development Plan:- Continuing education with a focus on higher education to further enhance technical expertise and career advancement opportunities---Strengths:- Eagerness to learn and grow within the technical field- Dedication to achieving high results and contributing positively to team efforts- Strong belief in the importance of continuous improvement and skill development---Conclusion:Through dedicated work and a commitment to learning, I am confident in my ability to quickly acquire the necessary skills for a successful career in the technical field. I am ready to invest my energy and time into making a positive contribution to your team."
43,"Objective:  To leverage my project management and organizational skills to contribute effectively to a challenging and dynamic team environment.Experience:KidAtSchool Project  - Delivered a presentation on the KidAtSchool project, resulting in better-than-expected outcomes.Pet Projects:1. UrbanUtopia  - Developed a party application for youth and teenagers that aggregates questionnaires to help users find suitable parties or events. The application's features include:  - Finding appropriate parties or events  - Organizing personal parties or events and locating the right participants  - Receiving party updates via Telegram, Email, Phone, and in the App- Comprehensive project documentation and management, including:  - Project Mind Map  - WBS Mind Map  - Road Map  - Backlog  - Project Data  - Critical Path  - Estimate  - Ground Rules, Team Building Activities, Questions for Candidates  - List of Techniques and Technologies for Managing Project Layout  - PM Reports  - Project Risks  - Client Questions  - RACI Chart  - Schedule Tracking Tools  - SCRAM Events  - SOW (Statement of Work)  - Stakeholder Register  - Team Schedule Management Plan  - General Budget  - FP Schedule and Cost  - Test Plan  - Project Closing Checklist- Responsible for filling out and maintaining all above-mentioned project documents.Skills:- Project Management- Organizing and Managing Events- Excellent Communication Skills- Documentation and Reporting- Risk Management- Stakeholder Management- Scheduling and BudgetingEducation:Certifications:Languages:"
44," |  |  | --- Professional SummaryCreative, agile, and goal-oriented specialist with over 3 years of experience in social media marketing, video production, and creative project management. Adept at developing social media strategies aligned with current trends and creative content calendars. Proven ability to manage and prioritize multiple projects in a fast-paced environment. Team player with strong relationship-building and time management skills. ExperienceVideo Production (Freelance)  2021 - 2022  - Produced videos for 25+ businesses (restaurants, real estate, educational institutions, fashion, etc.), over 50 private events, and 10+ stock footage projects in collaboration with a video operator.- Developed scripts and concepts for videos.- Conducted market research, tracked trends, and increased engagement through video content on clients' social media.- Maintained clear communication with clients.- Managed project budgets.Houston Pub  2020 - 2021  - Developed a marketing strategy and branding in collaboration with a graphic designer.- Produced a marketing roadmap and managed a team of 4 (designers, photographer, video operator).- Handled social media management.- Engaged with the target audience, grew the Instagram following, and boosted engagement.- Managed the marketing budget.--- Skills- Social Media Strategy Development- Content Calendar Creation- Video Production & Editing- Script Writing & Concept Development- Market Research & Trend Analysis- Client Communication- Project Budget Management- Team Leadership- Time Management---Education    ---ReferencesAvailable upon request"
45,"Vinnytsia IT Academy (Internship Project Manager)- Prepared TR of the project and fixed requirements.- Organized team meetings.- Assigned tasks to team members.- Controlled task progress.- Prepared reports for customers and organized meetings with them.Taurus-Group (Project Manager/Account Manager)- Accompanied clients at all stages of the logistics process.- Controlled payments, prepared reports, and managed customs and delivery documentation.- Supported company on all web projects.- Prepared presentations for webinars.- Organized webinars.SkillmePro (Project Manager)- Prepared project documentation: project brief, TR for designers, layout designers, developers, targetologists, PPC specialists, and copywriters.- Assigned tasks and monitored their implementation by team members.- Controlled payments and prepared project reports.- Prepared presentations for webinars.- Organized webinars.KNB-Studio (Kornienko-studio) - Assistant to Project Manager, Account Manager- Accompanied studio clients at all stages of the project.- Prepared project documentation: project brief, TOR for designers, layout designers, developers, targetologists, PPC specialists, and copywriters.- Assigned tasks and monitored their implementation by team members.- Determined and controlled task deadlines.- Coordinated all work with clients and defended the studio's solutions.- Managed objections and prepared necessary technical requirements for the team.- Controlled payments and prepared project reports.- Received and processed client feedback on project tasks.- Participated in team meetings and project discussions.- Organized the recruitment process for the studio, conducting interviews and internships."
